Product Name,GPU Chip,Released,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs,MSRP
Radeon X600 PRO,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",400 MHz,300 MHz,4 / 2 / 4 / 4,
Radeon X700 AGP,RV410,"Sep 1st, 2004",AGP 8x,"128 MB, DDR, 128 bit",400 MHz,250 MHz,8 / 6 / 8 / 8,
Radeon X700 PRO AGP,RV410,"Sep 1st, 2004",AGP 8x,"128 MB, DDR, 128 bit",425 MHz,472 MHz,8 / 6 / 8 / 8,
Radeon X700 LE,RV410,"Dec 21st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",400 MHz,350 MHz,8 / 6 / 8 / 8,
Radeon X700,RV410,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",400 MHz,250 MHz,8 / 6 / 8 / 8,
Radeon X700 PRO,RV410,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",425 MHz,430 MHz,8 / 6 / 8 / 8,179
Radeon X700 XT,RV410,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",475 MHz,525 MHz,8 / 6 / 8 / 8,199
Radeon X800 SE AGP,R420,"Sep 1st, 2004",AGP 8x,"256 MB, DDR, 256 bit",450 MHz,400 MHz,8 / 6 / 8 / 8,
Radeon X800 PRO AGP,R420,"May 1st, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",475 MHz,450 MHz,12 / 6 / 12 / 12,
Radeon X800 VE AGP,R420,"Sep 1st, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",425 MHz,398 MHz,16 / 6 / 16 / 16,
Radeon X800 XL AGP,R430,"May 1st, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",400 MHz,500 MHz,16 / 6 / 16 / 16,
Radeon X800 XT AGP,R420,"Mar 1st, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",500 MHz,500 MHz,16 / 6 / 16 / 16,
Radeon X800 XT Mac Edition,R423,"Dec 1st, 2004",AGP Pro 8x,"256 MB, GDDR3, 256 bit",475 MHz,500 MHz,16 / 6 / 16 / 16,
Radeon X800 XT Platinum AGP,R420,"May 1st, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",520 MHz,560 MHz,16 / 6 / 16 / 16,
Radeon X800 SE,R423,"Oct 4th, 2004",PCIe 1.0 x16,"128 MB, DDR, 256 bit",425 MHz,350 MHz,8 / 6 / 8 / 8,
Radeon X800,R430,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, DDR, 256 bit",400 MHz,350 MHz,12 / 6 / 12 / 12,249
Radeon X800 PRO,R423,"May 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",475 MHz,450 MHz,12 / 6 / 12 / 12,399
Radeon X800 XL,R430,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",400 MHz,490 MHz,16 / 6 / 16 / 16,349
Radeon X800 XT,R423,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",500 MHz,500 MHz,16 / 6 / 16 / 16,499
Radeon X800 XT Platinum,R423,"Mar 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",520 MHz,560 MHz,16 / 6 / 16 / 16,499
Radeon X850 PRO,R480,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",507 MHz,520 MHz,12 / 6 / 12 / 12,279
Radeon X850 XT,R480,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",520 MHz,540 MHz,16 / 6 / 16 / 16,499
Radeon X850 XT Platinum,R480,"Dec 21st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",540 MHz,590 MHz,16 / 6 / 16 / 16,549
All-In-Wonder 9200 SE,RV280,"Jan 26th, 2004",AGP 8x,"128 MB, DDR, 64 bit",250 MHz,164 MHz,4 / 1 / 4 / 4,
All-In-Wonder 9200,RV280,"Jan 26th, 2004",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 1 / 4 / 4,
All-In-Wonder 9600 XT,RV360,"Feb 6th, 2004",AGP 8x,"128 MB, DDR, 128 bit",527 MHz,324 MHz,4 / 2 / 4 / 4,
All-In-Wonder X800 GT,R430,"Sep 21st, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",398 MHz,492 MHz,8 / 6 / 8 / 8,249
All-In-Wonder X800 XT,R420,"Sep 21st, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",500 MHz,500 MHz,16 / 6 / 16 / 16,179
QID,MP-A4,"Dec 17th, 2004",AGP 8x,"256 MB, DDR, 128 bit",250 MHz,300 MHz,2 / 2 / 8 / 2,
QID LP PCI,MP-A4,"Dec 17th, 2004",PCI-X,"128 MB, DDR, 64 bit",250 MHz,300 MHz,2 / 2 / 8 / 2,
QID LP PCIe,MP-A4,"Dec 17th, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",250 MHz,300 MHz,2 / 2 / 8 / 2,799
QID PRO,MP-A4,"Dec 17th, 2004",PCI-X,"256 MB, DDR, 64 bit",250 MHz,300 MHz,2 / 2 / 8 / 2,
Parhelia 128 MB,Parhelia-512,"Mar 30th, 2004",AGP 8x,"128 MB, DDR, 256 bit",250 MHz,300 MHz,4 / 4 / 16 / 4,
Parhelia 256 MB,Parhelia-512,"Mar 30th, 2004",AGP 8x,"256 MB, DDR, 256 bit",250 MHz,325 MHz,4 / 4 / 16 / 4,
M9125 PCIe x16,PX-A1,Unknown,PCIe 1.0 x16,"512 MB, DDR2, 64 bit",250 MHz,300 MHz,2 / 2 / 8 / 2,
GeForce FX 5500 PCI,NV34B,"Mar 17th, 2004",PCI,"256 MB, DDR, 128 bit",270 MHz,200 MHz,4 / 2 / 4 / 4,
GeForce FX 5500,NV34B,"Mar 17th, 2004",AGP 8x,"64 MB, DDR, 128 bit",270 MHz,166 MHz,4 / 2 / 4 / 4,
GeForce FX 5700 LE,NV36,"Mar 1st, 2004",AGP 8x,"128 MB, DDR, 64 bit",250 MHz,200 MHz,4 / 3 / 4 / 4,
GeForce FX 5700 VE,NV36,"Sep 1st, 2004",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 3 / 4 / 4,
GeForce FX 5700 EP,NV36,"Sep 1st, 2004",AGP 8x,"128 MB, DDR, 64 bit",425 MHz,200 MHz,4 / 3 / 4 / 4,
GeForce PCX 4300,NV18C,"Feb 19th, 2004",PCIe 1.0 x16,"64 MB, DDR, 64 bit",250 MHz,166 MHz,2 / 0 / 2 / 2,
GeForce PCX 5300,NV37,"Feb 17th, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 2 / 4 / 4,
GeForce PCX 5750,NV39,"Feb 17th, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",425 MHz,275 MHz,4 / 3 / 4 / 4,
GeForce PCX 5950,NV38,"Feb 17th, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",475 MHz,425 MHz,4 / 3 / 8 / 4,
GeForce 6200 LE PCI,NV43,"Oct 11th, 2004",PCI,"256 MB, DDR, 64 bit",300 MHz,266 MHz,4 / 3 / 4 / 2,
GeForce 6200 LE AGP 512 MB,NV44,"Oct 11th, 2004",AGP 8x,"512 MB, DDR2, 128 bit",300 MHz,275 MHz,4 / 3 / 4 / 2,
GeForce 6200 TurboCache,NV44B,"Dec 15th, 2004",AGP 4x,"64 MB, DDR, 64 bit",350 MHz,250 MHz,4 / 3 / 4 / 2,
GeForce 6600 AGP,NV43,"Aug 12th, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",300 MHz,250 MHz,8 / 3 / 8 / 4,
GeForce 6600 GT AGP,NV43,"Nov 14th, 2004",AGP 8x,"128 MB, GDDR3, 128 bit",500 MHz,475 MHz,8 / 3 / 8 / 4,
GeForce 6800 LE,NV40,"Jul 21st, 2004",AGP 8x,"128 MB, DDR, 256 bit",300 MHz,350 MHz,8 / 4 / 8 / 8,
GeForce 6800,NV40,"Apr 14th, 2004",AGP 8x,"128 MB, DDR, 256 bit",325 MHz,350 MHz,12 / 5 / 12 / 12,
GeForce 6800,NV48,"Apr 14th, 2004",AGP 8x,"256 MB, DDR, 256 bit",325 MHz,350 MHz,12 / 5 / 12 / 12,
GeForce 6800 GT,NV40,"Apr 14th, 2004",AGP 8x,"128 MB, DDR, 256 bit",350 MHz,250 MHz,16 / 6 / 16 / 16,
GeForce 6800 GT,NV48,"Apr 14th, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",350 MHz,500 MHz,16 / 6 / 16 / 16,
GeForce 6800 GT DDL,NV40,"Apr 14th, 2004",AGP Pro 8x,"256 MB, GDDR3, 256 bit",350 MHz,500 MHz,16 / 6 / 16 / 16,499
GeForce 6800 Ultra,NV40,"Apr 14th, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",425 MHz,550 MHz,16 / 6 / 16 / 16,
GeForce 6800 Ultra DDL,NV40,"Apr 14th, 2004",AGP Pro 8x,"256 MB, GDDR3, 256 bit",400 MHz,550 MHz,16 / 6 / 16 / 16,599
GeForce 6200 SE TurboCache,NV44,"Dec 15th, 2004",PCIe 1.0 x16,"64 MB, DDR, 32 bit",350 MHz,250 MHz,4 / 3 / 4 / 2,
GeForce 6200,NV43,"Oct 11th, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",300 MHz,275 MHz,4 / 3 / 2 / 4,
GeForce 6600,NV43,"Aug 12th, 2004",PCIe 1.0 x16,"256 MB, DDR, 128 bit",300 MHz,250 MHz,8 / 3 / 8 / 4,
GeForce 6600 GT,NV43,"Aug 12th, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",500 MHz,500 MHz,8 / 3 / 8 / 4,199
GeForce 6600 GT Dual,NV43,"Aug 12th, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",500 MHz,560 MHz,8 / 3 / 8 / 4,
GeForce 6610 XL,NV43,"Nov 14th, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",400 MHz,400 MHz,8 / 3 / 8 / 4,
GeForce 6700 XL,NV43,"Nov 14th, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",525 MHz,550 MHz,8 / 3 / 8 / 4,
GeForce 6800,NV41,"Nov 8th, 2004",PCIe 1.0 x16,"256 MB, DDR, 256 bit",325 MHz,300 MHz,12 / 5 / 12 / 12,
GeForce 6800 GTO,NV45,"Apr 14th, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",350 MHz,500 MHz,12 / 5 / 12 / 12,
GeForce 6800 GT,NV45,"Jun 8th, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",350 MHz,500 MHz,16 / 6 / 16 / 16,
GeForce 6800 GT Dual,NV45,"Jun 8th, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",350 MHz,500 MHz,16 / 6 / 16 / 16,
GeForce 6800 Ultra,NV45,"Jul 26th, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",425 MHz,550 MHz,16 / 6 / 16 / 16,499
Playstation Portable GPU 90nm,RE+SE-90nm,"Dec 12th, 2004",IGP,"2 MB, eDRAM, 512 bit",133 MHz,83 MHz,2 / 1 / 5 / 5,
Radeon 9550 XT,RV350,"May 4th, 2005",AGP 8x,"128 MB, DDR, 128 bit",425 MHz,325 MHz,4 / 2 / 4 / 4,
Radeon X550 HyperMemory,RV370,"Jul 1st, 2005",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",400 MHz,250 MHz,4 / 2 / 4 / 4,
Radeon X550,RV370,"Jul 1st, 2005",PCIe 1.0 x16,"128 MB, DDR, 128 bit",400 MHz,250 MHz,4 / 2 / 4 / 4,
Radeon X700 SE,RV410,"Apr 1st, 2005",PCIe 1.0 x16,"128 MB, DDR, 64 bit",400 MHz,250 MHz,4 / 6 / 4 / 4,
Radeon X740 XL,RV410,"Mar 7th, 2005",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",425 MHz,450 MHz,8 / 6 / 8 / 8,
Radeon X800 GTO AGP,R430,"Oct 1st, 2005",AGP 8x,"256 MB, GDDR3, 256 bit",400 MHz,490 MHz,12 / 6 / 12 / 12,
Radeon X800 GTO AGP,R481,"Oct 1st, 2005",AGP 8x,"256 MB, GDDR3, 256 bit",400 MHz,490 MHz,12 / 6 / 12 / 12,
Radeon X800 GT AGP,R481,"Nov 1st, 2005",AGP 8x,"256 MB, GDDR3, 256 bit",475 MHz,493 MHz,12 / 6 / 12 / 12,
Radeon X800 GT,R430,"Nov 1st, 2005",PCIe 1.0 x16,"128 MB, DDR, 256 bit",475 MHz,493 MHz,8 / 6 / 8 / 8,
Radeon X800 GT,R480,"Nov 1st, 2005",PCIe 1.0 x16,"128 MB, DDR, 256 bit",475 MHz,350 MHz,12 / 6 / 12 / 12,
Radeon X800 GTO,R480,"Nov 1st, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",400 MHz,400 MHz,12 / 6 / 12 / 12,
Radeon X800 GTO2,R480,"Sep 15th, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",400 MHz,490 MHz,16 / 6 / 16 / 16,164
Radeon X800 CrossFire Edition,R430,"Oct 28th, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",500 MHz,500 MHz,16 / 6 / 16 / 16,
Radeon X850 PRO AGP,R481,"Sep 4th, 2005",AGP 8x,"256 MB, GDDR3, 256 bit",500 MHz,500 MHz,12 / 6 / 12 / 12,
Radeon X850 XT AGP,R481,"Feb 28th, 2005",AGP 8x,"256 MB, GDDR3, 256 bit",520 MHz,540 MHz,16 / 6 / 16 / 16,
Radeon X850 XT Platinum AGP,R481,"Feb 28th, 2005",AGP 8x,"256 MB, GDDR3, 256 bit",540 MHz,590 MHz,16 / 6 / 16 / 16,
Radeon X1300 AGP,RV515,"Dec 1st, 2005",AGP 8x,"256 MB, DDR, 128 bit",450 MHz,250 MHz,4 / 2 / 4 / 4,
Radeon X1300 PRO AGP,RV515,"Oct 1st, 2005",AGP 8x,"256 MB, DDR, 128 bit",600 MHz,400 MHz,4 / 2 / 4 / 4,
Radeon X1300 PCI,RV515,"Oct 5th, 2005",PCI,"128 MB, DDR, 128 bit",450 MHz,250 MHz,4 / 2 / 4 / 4,
Radeon X1300 PCI,RV516,"Oct 5th, 2005",PCI,"128 MB, DDR2, 64 bit",450 MHz,250 MHz,4 / 2 / 4 / 4,
Radeon X1300 LE,RV515,"Oct 5th, 2005",PCIe 1.0 x16,"64 MB, DDR, 64 bit",450 MHz,250 MHz,4 / 2 / 4 / 4,
Radeon X1300,RV516,"Oct 5th, 2005",PCIe 1.0 x16,"128 MB, DDR, 128 bit",450 MHz,250 MHz,4 / 2 / 4 / 4,
Radeon X1300,RV515,"Dec 1st, 2005",PCIe 1.0 x16,"256 MB, DDR, 128 bit",450 MHz,250 MHz,4 / 2 / 4 / 4,
Radeon X1300 PRO,RV515,"Oct 1st, 2005",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",600 MHz,400 MHz,4 / 2 / 4 / 4,
Radeon X1600 PRO,RV530,"Oct 1st, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",500 MHz,390 MHz,12 / 5 / 4 / 4,199
Radeon X1600 XT,RV530,"Oct 1st, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",590 MHz,690 MHz,12 / 5 / 4 / 4,
Radeon X1800 XL,R520,"Oct 1st, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",500 MHz,500 MHz,16 / 8 / 16 / 16,
Radeon X1800 XT,R520,"Oct 1st, 2005",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,700 MHz,16 / 8 / 16 / 16,549
Radeon X1800 CrossFire Edition,R520,"Dec 20th, 2005",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,700 MHz,16 / 8 / 16 / 16,
All-In-Wonder X600 PRO,RV370,"Jul 1st, 2005",PCIe 1.0 x16,"256 MB, DDR, 128 bit",400 MHz,300 MHz,4 / 2 / 4 / 4,
All-In-Wonder X800 VE,R420,"Apr 27th, 2005",AGP 8x,"256 MB, GDDR3, 256 bit",425 MHz,400 MHz,8 / 6 / 8 / 8,
All-In-Wonder X800 SE,R420,"Apr 27th, 2005",AGP 8x,"256 MB, GDDR3, 256 bit",425 MHz,400 MHz,8 / 6 / 8 / 8,
All-In-Wonder X800 XL,R430,"Jan 21st, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",400 MHz,490 MHz,16 / 6 / 16 / 16,329
All-In-Wonder X1800 XL,R520,"Oct 27th, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",500 MHz,500 MHz,16 / 8 / 16 / 16,429
All-In-Wonder 2006 AGP Edition,RV350,"Apr 29th, 2005",AGP 8x,"256 MB, DDR, 128 bit",324 MHz,196 MHz,4 / 2 / 4 / 4,199
All-In-Wonder 2006 PCIe Edition,RV515,"Dec 22nd, 2005",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",450 MHz,400 MHz,4 / 2 / 4 / 4,199
Xbox 360 GPU 90nm,Xenos Xenon,"Nov 22nd, 2005",IGP,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,240 / 16 / 8,
GeForce 6200 LE AGP,NV44,"Apr 4th, 2005",AGP 8x,"128 MB, DDR, 64 bit",350 MHz,266 MHz,2 / 1 / 2 / 2,
GeForce 6200 AGP,NV44,"Apr 4th, 2005",AGP 8x,"128 MB, DDR, 64 bit",350 MHz,250 MHz,4 / 2 / 4 / 4,
GeForce 6200 AGP,NV44,"Apr 4th, 2005",AGP 8x,"256 MB, DDR2, 64 bit",350 MHz,266 MHz,4 / 3 / 4 / 2,
GeForce 6600 LE AGP,NV43,2005,AGP 8x,"128 MB, DDR, 128 bit",300 MHz,200 MHz,4 / 3 / 4 / 4,
GeForce 6800 XE,NV40,"Sep 30th, 2005",AGP 8x,"256 MB, DDR2, 128 bit",275 MHz,266 MHz,8 / 3 / 8 / 8,
GeForce 6800 XT,NV48,"Sep 30th, 2005",AGP 8x,"256 MB, DDR, 128 bit",300 MHz,266 MHz,8 / 4 / 8 / 8,
GeForce 6800 XT,NV40,"Sep 30th, 2005",AGP 8x,"256 MB, DDR, 256 bit",300 MHz,350 MHz,8 / 4 / 8 / 8,
GeForce 6800 GS,NV40,"Dec 8th, 2005",AGP 8x,"256 MB, GDDR3, 256 bit",350 MHz,500 MHz,12 / 5 / 12 / 12,
GeForce 6800 XT,NV42,"Sep 30th, 2005",AGP 8x,"256 MB, GDDR3, 256 bit",450 MHz,600 MHz,12 / 5 / 12 / 12,
GeForce 6200 LE,NV44,"Apr 4th, 2005",PCIe 1.0 x16,"128 MB, DDR, 64 bit",350 MHz,266 MHz,2 / 1 / 2 / 2,
GeForce 6200 LE,NV44,"Apr 4th, 2005",PCIe 1.0 x16,"64 MB, DDR2, 32 bit",350 MHz,266 MHz,2 / 1 / 2 / 2,
GeForce 6500,NV44,"Oct 1st, 2005",PCIe 1.0 x16,"128 MB, DDR2, 128 bit",400 MHz,266 MHz,4 / 3 / 4 / 2,
GeForce 6600 LE,NV43,2005,PCIe 1.0 x16,"128 MB, DDR, 128 bit",300 MHz,250 MHz,4 / 3 / 4 / 4,
GeForce 6600 VE,NV43,2005,PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",300 MHz,200 MHz,4 / 2 / 4 / 4,
GeForce 6800 LE,NV41,"Jan 16th, 2005",PCIe 1.0 x16,"256 MB, DDR, 256 bit",325 MHz,300 MHz,8 / 4 / 8 / 8,
GeForce 6800 XT,NV41,"Sep 30th, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",425 MHz,500 MHz,8 / 4 / 8 / 8,
GeForce 6800 GS,NV41,"Nov 7th, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",425 MHz,500 MHz,12 / 5 / 12 / 12,249
GeForce 7800 GT,G70,"Aug 11th, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",400 MHz,500 MHz,20 / 7 / 20 / 16,449
GeForce 7800 GTX,G70,"Jun 22nd, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",430 MHz,600 MHz,24 / 8 / 24 / 16,599
GeForce 7800 GTX 512,G70,"Nov 14th, 2005",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,800 MHz,24 / 8 / 24 / 16,649
GeForce 7800 GT Dual,G70,"Aug 11th, 2005",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",400 MHz,500 MHz,20 / 7 / 20 / 16,799
Playstation 2 GPU 90nm,EE+GS-90nm,"May 26th, 2005",IGP,"4 MB, eDRAM, 2560 bit",147 MHz,150 MHz,16 / 2 / 8 / 16,
Volari 8300,XG47,"Nov 1st, 2005",PCIe 1.0 x16,"128 MB, DDR, 64 bit",300 MHz,300 MHz,4 / 2 / 8 / 4,
Volari 8600 XT,XG45,Never Released,PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",450 MHz,450 MHz,8 / 2 / 8 / 4,
Radeon X300 SE HyperMemory,RV370,"Oct 25th, 2006",PCIe 1.0 x16,"128 MB, DDR, 64 bit",325 MHz,300 MHz,4 / 2 / 4 / 4,
Radeon X850 CrossFire Edition,R480,"Sep 10th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",520 MHz,540 MHz,16 / 6 / 16 / 16,549
Radeon X1050 AGP,RV350,"Dec 7th, 2006",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 2 / 4 / 4,
Radeon X1050,RV370,"Dec 7th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",400 MHz,333 MHz,4 / 2 / 4 / 4,
Radeon X1300 XT AGP,RV530,"Aug 12th, 2006",AGP 8x,"256 MB, GDDR3, 128 bit",500 MHz,400 MHz,12 / 5 / 4 / 4,
Radeon X1300 CE,RV505,"Oct 27th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",350 MHz,400 MHz,4 / 2 / 4 / 4,
Radeon X1300 PRO,RV516,"Nov 1st, 2006",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",600 MHz,400 MHz,4 / 2 / 4 / 4,
Radeon X1300 XT,RV530,"Aug 12th, 2006",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",500 MHz,400 MHz,12 / 5 / 4 / 4,
Radeon X1650 PRO AGP,RV535,"Oct 15th, 2006",AGP 8x,"256 MB, GDDR3, 128 bit",600 MHz,700 MHz,12 / 5 / 4 / 4,
Radeon X1650 XT AGP,RV560,"Oct 30th, 2006",AGP 8x,"512 MB, GDDR3, 128 bit",540 MHz,680 MHz,24 / 8 / 8 / 8,
Radeon X1650 PRO,RV535,"Aug 23rd, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",600 MHz,700 MHz,12 / 5 / 4 / 4,
Radeon X1650 XT,RV560,"Oct 30th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",525 MHz,700 MHz,24 / 8 / 8 / 8,199
Radeon X1650 XT Dual,RV560,"Oct 30th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",525 MHz,700 MHz,24 / 8 / 8 / 8,
Radeon X1800 GTO,R520,"Mar 1st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",500 MHz,495 MHz,12 / 8 / 12 / 12,
Radeon X1800 GTO2,R520,"Mar 1st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",500 MHz,500 MHz,12 / 8 / 12 / 12,
Radeon X1900 G5 Mac Edition,R580,"Nov 6th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",575 MHz,600 MHz,36 / 8 / 12 / 12,349
Radeon X1900 GT,R580,"May 1st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",575 MHz,600 MHz,36 / 8 / 12 / 12,
Radeon X1900 XT,R580,"Jan 24th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",625 MHz,725 MHz,48 / 8 / 16 / 16,299
Radeon X1900 CrossFire Edition,R580,"Jan 24th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",625 MHz,725 MHz,48 / 8 / 16 / 16,
Radeon X1900 XTX,R580,"Jan 24th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,775 MHz,48 / 8 / 16 / 16,399
Radeon X1950 PRO AGP,RV570,"Oct 25th, 2006",AGP 8x,"512 MB, GDDR3, 256 bit",575 MHz,690 MHz,36 / 8 / 12 / 12,
Radeon X1950 XT AGP,R580+,"Oct 17th, 2006",AGP 8x,"256 MB, GDDR3, 256 bit",625 MHz,703 MHz,48 / 8 / 16 / 16,
Radeon X1950 PRO,RV570,"Oct 1st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",575 MHz,690 MHz,36 / 8 / 12 / 12,
Radeon X1950 XT,R580+,"Oct 17th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",625 MHz,900 MHz,48 / 8 / 16 / 16,
Radeon X1950 CrossFire Edition,R580+,"Sep 10th, 2006",PCIe 1.0 x16,"512 MB, GDDR4, 256 bit",650 MHz,1000 MHz,48 / 8 / 16 / 16,
Radeon X1950 XTX,R580+,"Oct 17th, 2006",PCIe 1.0 x16,"512 MB, GDDR4, 256 bit",650 MHz,1000 MHz,48 / 8 / 16 / 16,449
